Month,Ticker,ESG_Rating,ESG_Score
1,KMX,BB,3.8
1,KN,BBB,5.7
1,KNSL,B,1.8
1,KNX,BB,4.2
1,KO,AA,7.6
1,KR,A,6.5
1,KRA,BB,3
1,KRC,A,5.9
1,KREF,BB,4.1
1,KRG,B,1.6
1,KSS,BB,3.8
1,KSU,AA,8.4
1,KWR,B,2.6
1,L,BB,4.1
1,LAD,BBB,5.4
1,LAMR,B,2.3
1,LANC,B,2.6
1,LCI,BB,3.9
1,LCII,BB,3.9
1,LDOS,A,7.1
1,LEA,CCC,1.3
1,LECO,BBB,5.5
1,LEG,BB,4.2
1,LEN,BB,3.1
1,LFUS,BBB,5.2
1,LGIH,A,6.1
1,LGND,BBB,4.4
1,LH,BBB,5.7
1,LHCG,A,7.1
1,LHX,A,6.6
1,LII,A,6.7
1,LIN,BBB,5.3
1,LITE,AA,7.2
1,LIVN,BB,4.2
1,LKQ,BBB,5.6
1,LLY,A,6.4
1,LMAT,BBB,4.8
1,LMNX,BBB,4.5
1,LMT,A,5.9
1,LNC,BBB,5.3
1,LNN,A,6.8
1,LNT,A,7
1,LNTH,BB,3.3
1,LOCO,A,7
1,LOPE,BB,3.8
1,LOW,A,6.7
1,LPSN,BBB,5
1,LPX,BBB,4.5
1,LRCX,AA,7.7
1,LSI,BB,3
1,LSTR,A,6.8
1,LTC,B,1.9
1,LTHM,B,2.6
1,LUMN,BB,4.2
1,LUV,BB,3.3
1,LVS,BB,3.5
1,LW,A,6.3
1,LXP,B,1.9
1,LYB,BBB,4.9
1,LYV,BB,3.6
1,LZB,BBB,5.4
1,M,BBB,5.6
1,MA,A,7.1
1,MAA,BBB,5.1
1,MAC,A,6.8
1,MAN,A,5.8
1,MANH,BBB,4.7
1,MANT,BB,3.2
1,MAR,BB,2.9
1,MAS,A,6.1
1,MASI,B,1.8
1,MAT,A,6.5
1,MATW,AA,7.3
1,MATX,B,1.8
1,MCD,BB,3.9
1,MCHP,BB,2.9
1,MCK,BB,3.4
1,MCO,A,7
1,MCRI,B,1.6
1,MCS,BB,3
1,MCY,B,2.1
1,MD,A,6
1,MDC,BB,4.1
1,MDLZ,BBB,4.3
1,MDP,B,1.8
1,MDRX,AA,7.6
1,MDT,BB,3.9
1,MDU,BBB,5.3
1,MED,A,6.9
1,MEDP,BB,3
1,MEI,AA,8.3
1,MERC,BB,3.2
1,MET,BB,4.2
1,MGLN,BBB,4.9
1,MGM,BBB,4.5
1,MGPI,BB,3.2
1,MHK,A,6.2
1,MHO,BB,3.3
1,MIDD,A,6.1
1,MIK,BBB,4.4
1,MKC,A,6
1,MKSI,B,1.9
1,MKTX,BB,4
1,MLAB,B,2.7
1,MLHR,AA,7.8
1,MLI,B,2.3
1,MLM,BB,4.1
1,MMC,AA,7.2
1,MMI,AA,7.8
1,MMM,AAA,10
1,MMS,BB,2.9
1,MMSI,A,7
1,MNRO,BBB,5.1
1,MNST,CCC,0
1,MO,BB,3.8
1,MOG.A,A,6.9
1,MOH,BB,4
1,MOS,A,7
1,MPC,BB,4
1,MPW,B,1.6
1,MPWR,B,2.6
1,MRCY,A,6.9
1,MRK,A,6.1
1,MRO,BBB,5.6
1,MRTN,BB,3.9
1,MS,A,6.8
1,MSA,BBB,5.5
1,MSFT,AAA,10
1,MSI,A,6
1,MSM,BB,3.2
1,MSTR,BB,3.8
1,MTB,BBB,4.6
1,MTD,AA,8.2
1,MTDR,B,2.8
1,MTG,BBB,5.4
1,MTH,BBB,5.3
1,MTOR,BBB,5.4
1,MTRN,BB,4
1,MTRX,BB,4
1,MTSC,A,7
1,MTX,A,6
1,MTZ,BB,4.1
1,MU,BB,4.2
1,MUR,B,2.3
1,MUSA,A,6.7
1,MXIM,A,6.5
1,MXL,B,2.6
1,MYE,BBB,5.2
1,MYGN,B,2.8
1,MYRG,A,6.7
1,NATI,AA,8.3
1,NAVI,B,2
1,NBHC,BBB,4.6
1,NBTB,BB,3.3
1,NCLH,BBB,5
1,NCR,BBB,5.2
1,NDAQ,BB,3.7
1,NDSN,BB,3.5
1,NEE,AAA,9.4
1,NEM,A,6.9
1,NEO,BBB,4.8
1,NEOG,BB,3
1,NEU,B,2.6
1,NFBK,BB,3.3
1,NFG,BBB,5.1
1,NFLX,B,1.6
1,NGVT,B,2.6
1,NI,BBB,5.5
1,NJR,BBB,5.5
1,NKE,A,5.9
1,NKTR,BB,4.2
1,NLOK,A,7.1
1,NLSN,A,6.7
1,NMIH,B,2.5
1,NNN,B,1.9
1,NOC,AA,8.4
1,NOV,A,6.3
1,NOW,A,7.1
1,NP,B,1.8
1,NPK,BB,4.1
1,NPO,BBB,5.2
1,NRG,B,2.1
1,NSA,B,1.9
1,NSC,A,7.1
1,NSIT,A,7
1,NSP,BBB,5.2
1,NTAP,BB,4
1,NTCT,BBB,4.4
1,NTGR,BBB,5.2
1,NTRS,AA,8.5
1,NTUS,BB,4.2
1,NUE,BBB,5.6
1,NUS,BB,3.8
1,NUVA,BB,4.2
1,NVDA,AAA,9.4
1,NVR,BBB,4.5
1,NVT,B,1.9
1,NWBI,B,2.5
1,NWE,BB,4
1,NWL,A,5.8
1,NWN,BBB,4.5
1,NWSA,CCC,1.1
1,NX,BB,4.2
1,NXGN,BBB,4.5
1,NXRT,B,2.7
1,NYCB,BBB,5
1,NYMT,B,1.8
1,NYT,A,6.4
1,O,BB,3.8
1,OC,AA,8.2
1,ODFL,BB,4.2
1,ODP,BBB,4.9
1,OFC,A,6.5
1,OFG,BB,2.9
1,OFIX,BBB,4.8
1,OGE,BBB,4.5
1,OGS,A,6.2
1,OHI,B,2.7
1,OI,BBB,4.4
1,OII,A,6.8
1,OKE,A,7.1
1,OLED,BBB,4.8
1,OLLI,B,1.8
1,OLN,CCC,0
1,OMC,BBB,5
1,OMCL,BB,3.6
1,OMI,A,6.6
1,ONB,BB,3.3
1,ONTO,BBB,5.2
1,OPI,B,2.7
1,ORCL,BBB,4.7
1,ORI,B,1.5
1,ORLY,B,2.8
1,OSIS,A,6.1
1,OSK,AA,8.1
1,OSPN,BBB,4.4
1,OSUR,A,7
1,OXM,BBB,5.3
1,OXY,BB,4
1,OZK,BBB,5.4
1,PACW,BB,2.9
1,PAHC,BBB,5.6
1,PARR,B,2.7
1,PATK,B,2.7
1,PAYC,A,7.1
1,PAYX,BBB,5.6
1,PB,BB,2.9
1,PBCT,A,5.8
1,PBF,BB,3.5
1,PBH,BB,3.1
1,PBI,AA,7.8
1,PCAR,BBB,4.6
1,PCH,BB,3.2
1,PCRX,BB,3.6
1,PCTY,A,7.1
1,PDCE,B,2.3
1,PDCO,AAA,10
1,PDFS,BB,3.2
1,PEAK,AA,7.6
1,PEB,B,2.2
1,PEG,A,7
1,PEN,A,6.4
1,PENN,BBB,4.5
1,PEP,AA,7.9
1,PETS,BB,3.8
1,PFBC,B,2.5
1,PFE,B,2.8
1,PFG,BBB,5.3
1,PFS,BB,4.2
1,PG,AA,7.9
1,PGR,BBB,4.7
1,PGTI,BB,3
1,PH,A,6.1
1,PHM,BB,3.5
1,PII,B,1.7
1,PIPR,B,2.4
1,PK,BBB,4.6
1,PKE,BB,3
1,PKG,B,2
1,PKI,BBB,5.2
1,PLAB,B,2.3
1,PLAY,BBB,4.3
1,PLCE,BBB,5.6
1,PLD,AA,7.3
1,PLT,A,6
1,PLUS,A,6.5
1,PLXS,A,7
1,PM,BBB,5.4
1,PMT,B,1.8
1,PNC,A,7.1
1,PNFP,BBB,4.6
1,PNM,BB,3
1,PNR,BBB,5.5
1,PNW,A,7
1,POOL,A,6.9
1,POST,BB,4
1,POWI,BBB,4.5
1,POWL,B,1.6
1,PPBI,B,2.5
1,PPC,BB,4
1,PPG,A,6.7
1,PPL,BBB,5.7
1,PRA,BB,3.2
1,PRAA,A,6
1,PRAH,BB,3.6
1,PRDO,CCC,0
1,PRFT,BBB,4.4
1,PRGO,BBB,5.6
1,PRGS,A,6.2
1,PRI,BB,4.2
1,PRK,BB,2.9
1,PRLB,BBB,5.2
1,PRSC,A,6.9
1,PRSP,BB,2.9
1,PRU,A,6.9
1,PSA,B,1.6
1,PSB,B,2.2
1,PSMT,A,5.8
1,PSX,BBB,5.6
1,PTC,A,7.1
1,PTEN,B,2.3
1,PUMP,B,2
1,PVH,AA,8.2
1,PWR,AA,8.5
1,PXD,BB,3.6
1,PYPL,A,6.5
1,PZZA,B,1.7
1,QCOM,B,1.6
1,QDEL,BBB,5.2
1,QLYS,BBB,5.3
1,QNST,B,2.8
1,QRVO,BB,3.9
1,R,AA,8.4
1,RAMP,B,2.1
1,RAVN,AA,7.7
1,RBC,BBB,4.4
1,RC,BB,3.2
1,RCII,BBB,5.6
1,RCL,BBB,4.6
1,RCM,AA,8
1,RDNT,BBB,4.9
1,RE,CCC,1.2
1,REG,A,6.8
1,REGI,BBB,5.4
1,REGN,BB,3.6
1,RES,BB,3
1,REX,B,2.3
1,REXR,BB,4.1
1,REZI,A,6.7
1,RF,A,7.1
1,RGA,BB,4.2
1,RGEN,A,6
1,RGLD,A,6.7
1,RGNX,BB,3.6
1,RGP,BBB,4.8
1,RGR,B,1.7
1,RGS,BB,3.8
